Origin State,Origin County,Count
New Jersey,Burlington County,5
Massachusetts,Essex County,4
New York,Westchester County,4
Minnesota,Hennepin County,4
New York,Tompkins County,3
Michigan,Kent County,3
Pennsylvania,Montgomery County,3
Pennsylvania,Lycoming County,3
Michigan,Midland County,3
New York,Jefferson County,3
Wisconsin,Shawano County,3
Wisconsin,St. Croix County,3
Connecticut,New Haven County,3
New York,St. Lawrence County,3
Pennsylvania,Delaware County,2
Pennsylvania,Lackawanna County,2
Pennsylvania,Crawford County,2
Pennsylvania,Lancaster County,2
Pennsylvania,Centre County,2
Pennsylvania,Northampton County,2
Pennsylvania,Philadelphia County,2
Pennsylvania,Washington County,2
Pennsylvania,Bucks County,2
Maine,Oxford County,2
New York,Suffolk County,2
New York,Rockland County,2
New York,Fulton County,2
New Jersey,Essex County,2
New Jersey,Mercer County,2
New Jersey,Morris County,2
New Jersey,Somerset County,2
New Jersey,Union County,2
New York,Queens County,2
New York,Onondaga County,2
New York,New York County,2
New York,Nassau County,2
New York,Kings County,2
New York,Chautauqua County,2
New York,Clinton County,2
Connecticut,New London County,2
New York,Franklin County,2
Minnesota,Anoka County,2
Michigan,Ottawa County,2
Michigan,Wayne County,2
Michigan,Oakland County,2
Michigan,Livingston County,2
Michigan,Kalamazoo County,2
Minnesota,Olmsted County,2
Minnesota,Stearns County,2
Michigan,Iron County,2
Michigan,Gratiot County,2
Michigan,Calhoun County,2
Massachusetts,Suffolk County,2
Massachusetts,Hampshire County,2
Wisconsin,Brown County,2
Wisconsin,Eau Claire County,2
Wisconsin,Marinette County,2
Wisconsin,Monroe County,2
Wisconsin,Racine County,2
Wisconsin,Washington County,2
Massachusetts,Bristol County,2
Maine,York County,2
Michigan,Washtenaw County,2
Georgia,Liberty County,1
Georgia,Gwinnett County,1
Idaho,Ada County,1
Hawaii,Honolulu County,1
Florida,Pinellas County,1
Georgia,Bulloch County,1
Georgia,Chatham County,1
Georgia,Chattahoochee County,1
Georgia,Clayton County,1
Georgia,Cobb County,1
Georgia,DeKalb County,1
Georgia,Effingham County,1
Georgia,Fulton County,1
Hawaii,Hawaii County,1
Georgia,Richmond County,1
Georgia,Muscogee County,1
Georgia,Houston County,1
Illinois,Grundy County,1
Idaho,Canyon County,1
Louisiana,Allen Parish,1
Kansas,Edwards County,1
Kansas,Ellis County,1
Kansas,Leavenworth County,1
Kansas,Montgomery County,1
Kansas,Rice County,1
Kansas,Riley County,1
Kentucky,Boyle County,1
Kentucky,Jefferson County,1
Louisiana,Ascension Parish,1
Iowa,Scott County,1
Louisiana,Bossier Parish,1
Louisiana,Caddo Parish,1
Louisiana,Jefferson Parish,1
Louisiana,Lafayette Parish,1
Louisiana,Livingston Parish,1
Louisiana,Orleans Parish,1
Louisiana,St. Martin Parish,1
Louisiana,St. Tammany Parish,1
Kansas,Butler County,1
Iowa,Johnson County,1
Idaho,Fremont County,1
Illinois,Macon County,1
Idaho,Kootenai County,1
Idaho,Madison County,1
Illinois,Champaign County,1
Illinois,Cook County,1
Illinois,De Witt County,1
Illinois,DuPage County,1
Florida,Okaloosa County,1
Illinois,Lake County,1
Illinois,McLean County,1
Indiana,Steuben County,1
Illinois,Sangamon County,1
Illinois,St. Clair County,1
Illinois,Will County,1
Indiana,Allen County,1
Indiana,Clinton County,1
Indiana,DeKalb County,1
Indiana,Marion County,1
Indiana,Orange County,1
Florida,Orange County,1
Wyoming,Uinta County,1
Florida,Miami-Dade County,1
California,Imperial County,1
California,Amador County,1
California,Butte County,1
California,Calaveras County,1
California,Colusa County,1
California,Contra Costa County,1
California,Del Norte County,1
California,El Dorado County,1
California,Fresno County,1
California,Glenn County,1
California,Humboldt County,1
California,Inyo County,1
California,Monterey County,1
California,Kern County,1
California,Kings County,1
California,Lake County,1
California,Lassen County,1
California,Los Angeles County,1
California,Madera County,1
California,Marin County,1
California,Mariposa County,1
California,Mendocino County,1
California,Merced County,1
California,Alameda County,1
Arkansas,Scott County,1
Arkansas,Lonoke County,1
Arkansas,Independence County,1
Alabama,Calhoun County,1
Alabama,Cullman County,1
Alabama,Lowndes County,1
Alabama,Mobile County,1
Alabama,Montgomery County,1
Alaska,Aleutians West Census Area,1
Alaska,Anchorage Municipality,1
Alaska,Fairbanks North Star Borough,1
Alaska,Kenai Peninsula Borough,1
Alaska,Sitka City and Borough,1
Alaska,Valdez-Cordova Census Area,1
Arizona,Cochise County,1
Arizona,Coconino County,1
Arizona,La Paz County,1
Arizona,Maricopa County,1
Arizona,Mohave County,1
Arizona,Pima County,1
Arizona,Pinal County,1
Arizona,Yuma County,1
Arkansas,Chicot County,1
Arkansas,Crawford County,1
California,Modoc County,1
California,Napa County,1
Florida,Leon County,1
Colorado,Morgan County,1
California,Yolo County,1
