Origin State,Count
Wyoming,1
Missouri,1
Minnesota,1
Michigan,1
Massachusetts,1
Maryland,1
Maine,1
Louisiana,1
Kentucky,1
Kansas,1
Iowa,1
Indiana,1
Illinois,1
Idaho,1
Hawaii,1
Georgia,1
Florida,1
District of Columbia,1
Delaware,1
Connecticut,1
Colorado,1
California,1
Arkansas,1
Arizona,1
Alaska,1
Mississippi,1
Montana,1
Wisconsin,1
Nebraska,1
West Virginia,1
Washington,1
Virginia,1
Vermont,1
Utah,1
Texas,1
Tennessee,1
South Dakota,1
South Carolina,1
STATE2_NAME,1
Rhode Island,1
Puerto Rico,1
Pennsylvania,1
Oregon,1
Oklahoma,1
Ohio,1
North Dakota,1
North Carolina,1
New York,1
New Mexico,1
New Jersey,1
New Hampshire,1
Nevada,1
Alabama,1
